,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
36,0.451,0.279,11,-9.953,1,0.03,0.783,0,0.103,0.424,74.786,audio_features,07qlsG6DYRLBbovwca9Vbr,spotify:track:07qlsG6DYRLBbovwca9Vbr,https://api.spotify.com/v1/tracks/07qlsG6DYRLBbovwca9Vbr,https://api.spotify.com/v1/audio-analysis/07qlsG6DYRLBbovwca9Vbr,177886,4
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,0.606,0.82,7,-4.227,1,0.0731,0.00426,0,0.226,0.298,113.99,audio_features,7kqujRWNEBhrpYt0eV0uw5,spotify:track:7kqujRWNEBhrpYt0eV0uw5,https://api.spotify.com/v1/tracks/7kqujRWNEBhrpYt0eV0uw5,https://api.spotify.com/v1/audio-analysis/7kqujRWNEBhrpYt0eV0uw5,202247,4
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,0.735,0.874,11,-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,audio_features,0ThWw4Mty8Sb0mzaXyFvt8,spotify:track:0ThWw4Mty8Sb0mzaXyFvt8,https://api.spotify.com/v1/tracks/0ThWw4Mty8Sb0mzaXyFvt8,https://api.spotify.com/v1/audio-analysis/0ThWw4Mty8Sb0mzaXyFvt8,183934,4
45,0.73,0.692,8,-5.432,1,0.0695,0.104,5.42e-06,0.106,0.76,109.08,audio_features,0s3P5PImfDZYWIseR3b39D,spotify:track:0s3P5PImfDZYWIseR3b39D,https://api.spotify.com/v1/tracks/0s3P5PImfDZYWIseR3b39D,https://api.spotify.com/v1/audio-analysis/0s3P5PImfDZYWIseR3b39D,182134,4
46,0.345,0.937,3,-3.517,0,0.0583,3.42e-05,0,0.133,0.427,164.023,audio_features,5hC0zQNulh7R4R8pM6gCJ9,spotify:track:5hC0zQNulh7R4R8pM6gCJ9,https://api.spotify.com/v1/tracks/5hC0zQNulh7R4R8pM6gCJ9,https://api.spotify.com/v1/audio-analysis/5hC0zQNulh7R4R8pM6gCJ9,178175,4
47,0.786,0.712,3,-5.349,0,0.0677,0.0696,0,0.236,0.795,130.144,audio_features,6n2eIfLj0wOOUkUfNmYzlh,spotify:track:6n2eIfLj0wOOUkUfNmYzlh,https://api.spotify.com/v1/tracks/6n2eIfLj0wOOUkUfNmYzlh,https://api.spotify.com/v1/audio-analysis/6n2eIfLj0wOOUkUfNmYzlh,180231,4
48,0.583,0.875,11,-6.01,0,0.0502,0.0608,0,0.341,0.726,86.992,audio_features,1Ryw2NPudgM1SRGZx91RbL,spotify:track:1Ryw2NPudgM1SRGZx91RbL,https://api.spotify.com/v1/tracks/1Ryw2NPudgM1SRGZx91RbL,https://api.spotify.com/v1/audio-analysis/1Ryw2NPudgM1SRGZx91RbL,176163,4
49,,,,,,,,,,,,,,,,,,
50,0.586,0.739,11,-4.584,0,0.105,0.0558,0,0.579,0.522,101.033,audio_features,4TwWOcvjY1qt3QJvtveAGm,spotify:track:4TwWOcvjY1qt3QJvtveAGm,https://api.spotify.com/v1/tracks/4TwWOcvjY1qt3QJvtveAGm,https://api.spotify.com/v1/audio-analysis/4TwWOcvjY1qt3QJvtveAGm,183397,4
51,,,,,,,,,,,,,,,,,,
52,0.649,0.665,0,-6.382,0,0.0405,0.289,0,0.0693,0.464,125.03,audio_features,0uvCOD3I7rr86UEQfXXijF,spotify:track:0uvCOD3I7rr86UEQfXXijF,https://api.spotify.com/v1/tracks/0uvCOD3I7rr86UEQfXXijF,https://api.spotify.com/v1/audio-analysis/0uvCOD3I7rr86UEQfXXijF,180480,4
53,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,0.715,0.543,9,-4.972,1,0.0334,0.112,0,0.228,0.538,90.007,audio_features,1WpQu8U3quBeGnhpZn0r7N,spotify:track:1WpQu8U3quBeGnhpZn0r7N,https://api.spotify.com/v1/tracks/1WpQu8U3quBeGnhpZn0r7N,https://api.spotify.com/v1/audio-analysis/1WpQu8U3quBeGnhpZn0r7N,168000,4
56,0.577,0.802,4,-4.908,0,0.146,0.793,0.0606,0.0834,0.332,180.09,audio_features,2m3jN95GjlFt51FeE4a55s,spotify:track:2m3jN95GjlFt51FeE4a55s,https://api.spotify.com/v1/tracks/2m3jN95GjlFt51FeE4a55s,https://api.spotify.com/v1/audio-analysis/2m3jN95GjlFt51FeE4a55s,179134,4
57,0.408,0.728,6,-5.186,1,0.0775,0.225,0,0.141,0.51,128.251,audio_features,6xT4IlszcN5bCKlBydmJA8,spotify:track:6xT4IlszcN5bCKlBydmJA8,https://api.spotify.com/v1/tracks/6xT4IlszcN5bCKlBydmJA8,https://api.spotify.com/v1/audio-analysis/6xT4IlszcN5bCKlBydmJA8,180114,5
58,0.833,0.806,10,-5.946,0,0.113,0.231,0.00944,0.0681,0.64,110.098,audio_features,7IVcRgLe3XIn7OEX1E5BoB,spotify:track:7IVcRgLe3XIn7OEX1E5BoB,https://api.spotify.com/v1/tracks/7IVcRgLe3XIn7OEX1E5BoB,https://api.spotify.com/v1/audio-analysis/7IVcRgLe3XIn7OEX1E5BoB,179625,4
59,,,,,,,,,,,,,,,,,,
60,0.669,0.832,10,-4.014,1,0.075,0.0424,3.89e-06,0.111,0.582,114.046,audio_features,4UPyr3Tep8idtAmisAu1qs,spotify:track:4UPyr3Tep8idtAmisAu1qs,https://api.spotify.com/v1/tracks/4UPyr3Tep8idtAmisAu1qs,https://api.spotify.com/v1/audio-analysis/4UPyr3Tep8idtAmisAu1qs,217625,4
61,,,,,,,,,,,,,,,,,,
62,0.21,0.0959,5,-17.767,1,0.0347,0.854,0.00355,0.261,0.167,175.914,audio_features,3UjSOJ00E1eLMcayBm827Q,spotify:track:3UjSOJ00E1eLMcayBm827Q,https://api.spotify.com/v1/tracks/3UjSOJ00E1eLMcayBm827Q,https://api.spotify.com/v1/audio-analysis/3UjSOJ00E1eLMcayBm827Q,185080,3
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,0.329,0.631,2,-4.343,1,0.0486,0.26,0,0.269,0.544,155.856,audio_features,2xI4CmkT6Bl4s5b4qggcgU,spotify:track:2xI4CmkT6Bl4s5b4qggcgU,https://api.spotify.com/v1/tracks/2xI4CmkT6Bl4s5b4qggcgU,https://api.spotify.com/v1/audio-analysis/2xI4CmkT6Bl4s5b4qggcgU,185237,4
66,,,,,,,,,,,,,,,,,,
67,0.656,0.768,7,-4.117,1,0.0512,0.0133,4.94e-06,0.106,0.881,169.94,audio_features,1wwcsua0ofpGmmPaTRg1SX,spotify:track:1wwcsua0ofpGmmPaTRg1SX,https://api.spotify.com/v1/tracks/1wwcsua0ofpGmmPaTRg1SX,https://api.spotify.com/v1/audio-analysis/1wwcsua0ofpGmmPaTRg1SX,182282,4
68,0.693,0.612,4,-6.665,0,0.0941,0.117,0,0.0905,0.316,104.014,audio_features,7CiatbFJpSnXnbCiVaGlm0,spotify:track:7CiatbFJpSnXnbCiVaGlm0,https://api.spotify.com/v1/tracks/7CiatbFJpSnXnbCiVaGlm0,https://api.spotify.com/v1/audio-analysis/7CiatbFJpSnXnbCiVaGlm0,175083,4
69,0.41,0.372,5,-8.181,1,0.0419,0.397,0,0.325,0.253,128.437,audio_features,67bhFQT17Kh4Z7GkyQHGYG,spotify:track:67bhFQT17Kh4Z7GkyQHGYG,https://api.spotify.com/v1/tracks/67bhFQT17Kh4Z7GkyQHGYG,https://api.spotify.com/v1/audio-analysis/67bhFQT17Kh4Z7GkyQHGYG,179948,4
70,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
72,0.812,0.699,3,-5.882,1,0.0473,0.376,0,0.127,0.52,124.014,audio_features,04yr4MXjMrQZlZlcdqFtgN,spotify:track:04yr4MXjMrQZlZlcdqFtgN,https://api.spotify.com/v1/tracks/04yr4MXjMrQZlZlcdqFtgN,https://api.spotify.com/v1/audio-analysis/04yr4MXjMrQZlZlcdqFtgN,181613,4
73,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,
75,0.736,0.668,4,-4.896,0,0.0491,0.0298,1.07e-06,0.142,0.455,109.003,audio_features,715cD5vOTffsOR3MnNYveJ,spotify:track:715cD5vOTffsOR3MnNYveJ,https://api.spotify.com/v1/tracks/715cD5vOTffsOR3MnNYveJ,https://api.spotify.com/v1/audio-analysis/715cD5vOTffsOR3MnNYveJ,183991,4
76,0.408,0.506,0,-8.24,0,0.0355,0.419,0,0.108,0.213,125.576,audio_features,54ibWn7vBabFt6srLwccav,spotify:track:54ibWn7vBabFt6srLwccav,https://api.spotify.com/v1/tracks/54ibWn7vBabFt6srLwccav,https://api.spotify.com/v1/audio-analysis/54ibWn7vBabFt6srLwccav,180952,4
77,,,,,,,,,,,,,,,,,,
78,0.749,0.811,11,-2.626,1,0.099,0.0228,0,0.0696,0.762,117.01,audio_features,4d3fHHVvWpwrKK727XE3b1,spotify:track:4d3fHHVvWpwrKK727XE3b1,https://api.spotify.com/v1/tracks/4d3fHHVvWpwrKK727XE3b1,https://api.spotify.com/v1/audio-analysis/4d3fHHVvWpwrKK727XE3b1,171893,4
79,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,
83,0.286,0.777,0,-3.661,1,0.0424,0.0197,0,0.165,0.339,149.965,audio_features,60hZOS486h0b6nvykyvR7a,spotify:track:60hZOS486h0b6nvykyvR7a,https://api.spotify.com/v1/tracks/60hZOS486h0b6nvykyvR7a,https://api.spotify.com/v1/audio-analysis/60hZOS486h0b6nvykyvR7a,188133,4
84,0.43,0.414,7,-6.903,0,0.0273,0.619,0,0.115,0.361,139.671,audio_features,2VdfyGuvpkm8M20swSPT2P,spotify:track:2VdfyGuvpkm8M20swSPT2P,https://api.spotify.com/v1/tracks/2VdfyGuvpkm8M20swSPT2P,https://api.spotify.com/v1/audio-analysis/2VdfyGuvpkm8M20swSPT2P,192702,4
85,0.613,0.834,0,-5.164,1,0.0327,0.0211,0,0.225,0.524,110.069,audio_features,1G5qDCiqei7ozj5ku43TuR,spotify:track:1G5qDCiqei7ozj5ku43TuR,https://api.spotify.com/v1/tracks/1G5qDCiqei7ozj5ku43TuR,https://api.spotify.com/v1/audio-analysis/1G5qDCiqei7ozj5ku43TuR,179482,4
86,0.735,0.612,5,-6.774,1,0.0517,0.289,4.12e-05,0.103,0.395,105.056,audio_features,6oDkCmfVcSd9NXAKk1b4Ll,spotify:track:6oDkCmfVcSd9NXAKk1b4Ll,https://api.spotify.com/v1/tracks/6oDkCmfVcSd9NXAKk1b4Ll,https://api.spotify.com/v1/audio-analysis/6oDkCmfVcSd9NXAKk1b4Ll,184060,4
87,,,,,,,,,,,,,,,,,,
88,0.566,0.875,1,-4.818,1,0.0444,0.0263,0,0.17,0.489,120.061,audio_features,1lzRxwbdl86iJlYMz48KoD,spotify:track:1lzRxwbdl86iJlYMz48KoD,https://api.spotify.com/v1/tracks/1lzRxwbdl86iJlYMz48KoD,https://api.spotify.com/v1/audio-analysis/1lzRxwbdl86iJlYMz48KoD,212280,4
89,0.267,0.801,8,-4.01,0,0.0505,0.28,0,0.704,0.205,82.817,audio_features,1XoGbKi6ELlajFlNYtIvK3,spotify:track:1XoGbKi6ELlajFlNYtIvK3,https://api.spotify.com/v1/tracks/1XoGbKi6ELlajFlNYtIvK3,https://api.spotify.com/v1/audio-analysis/1XoGbKi6ELlajFlNYtIvK3,240067,4
90,0.523,0.818,4,-4.062,0,0.071,0.344,0,0.098,0.32,135.56,audio_features,2b9czDPSLTI88694CIqCy3,spotify:track:2b9czDPSLTI88694CIqCy3,https://api.spotify.com/v1/tracks/2b9czDPSLTI88694CIqCy3,https://api.spotify.com/v1/audio-analysis/2b9czDPSLTI88694CIqCy3,195480,4
91,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,
93,0.48,0.775,9,-6.302,1,0.0353,0.00453,0,0.309,0.609,134.069,audio_features,2FuzZfIyH3Hkr84RjV0Hvd,spotify:track:2FuzZfIyH3Hkr84RjV0Hvd,https://api.spotify.com/v1/tracks/2FuzZfIyH3Hkr84RjV0Hvd,https://api.spotify.com/v1/audio-analysis/2FuzZfIyH3Hkr84RjV0Hvd,184347,4
94,,,,,,,,,,,,,,,,,,
95,0.632,0.891,11,-5.376,0,0.0687,0.0382,0,0.106,0.269,127.983,audio_features,6IMHlXaG4aCFWupl9NCZO2,spotify:track:6IMHlXaG4aCFWupl9NCZO2,https://api.spotify.com/v1/tracks/6IMHlXaG4aCFWupl9NCZO2,https://api.spotify.com/v1/audio-analysis/6IMHlXaG4aCFWupl9NCZO2,186000,4
96,0.635,0.785,5,-6.209,0,0.0326,0.0154,0,0.104,0.527,125.004,audio_features,7DtnbNXYrv8ldS4xqA87tT,spotify:track:7DtnbNXYrv8ldS4xqA87tT,https://api.spotify.com/v1/tracks/7DtnbNXYrv8ldS4xqA87tT,https://api.spotify.com/v1/audio-analysis/7DtnbNXYrv8ldS4xqA87tT,178284,4
97,,,,,,,,,,,,,,,,,,
98,0.809,0.506,3,-5.235,1,0.0565,0.596,0.00728,0.24,0.47,120.012,audio_features,2nxTpjhxLXeyBOxYnRnT76,spotify:track:2nxTpjhxLXeyBOxYnRnT76,https://api.spotify.com/v1/tracks/2nxTpjhxLXeyBOxYnRnT76,https://api.spotify.com/v1/audio-analysis/2nxTpjhxLXeyBOxYnRnT76,180840,4
99,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
101,0.663,0.548,7,-7.111,1,0.0324,0.483,0,0.101,0.502,147.901,audio_features,5lOZLQnj1NRMFW22ojsMjk,spotify:track:5lOZLQnj1NRMFW22ojsMjk,https://api.spotify.com/v1/tracks/5lOZLQnj1NRMFW22ojsMjk,https://api.spotify.com/v1/audio-analysis/5lOZLQnj1NRMFW22ojsMjk,258040,4
102,,,,,,,,,,,,,,,,,,
103,0.534,0.719,5,-7.718,0,0.055,0.0812,5.96e-06,0.11,0.309,119.847,audio_features,4EAR7a3MTuT6o54KlNmxMf,spotify:track:4EAR7a3MTuT6o54KlNmxMf,https://api.spotify.com/v1/tracks/4EAR7a3MTuT6o54KlNmxMf,https://api.spotify.com/v1/audio-analysis/4EAR7a3MTuT6o54KlNmxMf,178000,4
104,,,,,,,,,,,,,,,,,,
105,0.54,0.513,9,-5.835,0,0.029,0.755,0,0.102,0.212,126.16,audio_features,4khNyfoM49usoXWeW8KpL0,spotify:track:4khNyfoM49usoXWeW8KpL0,https://api.spotify.com/v1/tracks/4khNyfoM49usoXWeW8KpL0,https://api.spotify.com/v1/audio-analysis/4khNyfoM49usoXWeW8KpL0,182027,4
106,0.716,0.829,1,-5.37,0,0.0615,0.179,0,0.0705,0.705,115.033,audio_features,6YWFr8BHQrRL4b7RwuqS36,spotify:track:6YWFr8BHQrRL4b7RwuqS36,https://api.spotify.com/v1/tracks/6YWFr8BHQrRL4b7RwuqS36,https://api.spotify.com/v1/audio-analysis/6YWFr8BHQrRL4b7RwuqS36,180586,4
107,,,,,,,,,,,,,,,,,,
108,0.751,0.807,0,-4.431,1,0.0578,0.0274,0,0.0774,0.74,117.012,audio_features,4HtQzcTI6wh3Xjj4fAzz2l,spotify:track:4HtQzcTI6wh3Xjj4fAzz2l,https://api.spotify.com/v1/tracks/4HtQzcTI6wh3Xjj4fAzz2l,https://api.spotify.com/v1/audio-analysis/4HtQzcTI6wh3Xjj4fAzz2l,168901,4
109,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,
111,0.599,0.781,10,-9.364,0,0.0316,0.00205,0.241,0.357,0.438,129.025,audio_features,0Oe27BTmQBCm24ioA9S50x,spotify:track:0Oe27BTmQBCm24ioA9S50x,https://api.spotify.com/v1/tracks/0Oe27BTmQBCm24ioA9S50x,https://api.spotify.com/v1/audio-analysis/0Oe27BTmQBCm24ioA9S50x,179105,4
112,,,,,,,,,,,,,,,,,,
113,0.484,0.791,7,-4.27,1,0.0437,0.0738,0,0.0491,0.369,124.008,audio_features,5uSztWifxO3cmeEja82bQs,spotify:track:5uSztWifxO3cmeEja82bQs,https://api.spotify.com/v1/tracks/5uSztWifxO3cmeEja82bQs,https://api.spotify.com/v1/audio-analysis/5uSztWifxO3cmeEja82bQs,190613,4
114,0.349,0.383,3,-8.067,1,0.0349,0.546,0,0.37,0.456,180.323,audio_features,2JmRQyQP78XKWlhAK2Yzml,spotify:track:2JmRQyQP78XKWlhAK2Yzml,https://api.spotify.com/v1/tracks/2JmRQyQP78XKWlhAK2Yzml,https://api.spotify.com/v1/audio-analysis/2JmRQyQP78XKWlhAK2Yzml,180532,4
115,,,,,,,,,,,,,,,,,,
116,0.821,0.513,7,-5.388,1,0.0436,0.0802,0,0.067,0.308,90.008,audio_features,3O2MsMZHCgSbRGEca5ML1N,spotify:track:3O2MsMZHCgSbRGEca5ML1N,https://api.spotify.com/v1/tracks/3O2MsMZHCgSbRGEca5ML1N,https://api.spotify.com/v1/audio-analysis/3O2MsMZHCgSbRGEca5ML1N,172153,4
