,track_name,artist_name,uri,id
14,My Body Is a Cage,Arcade Fire,1rOlTL4pKQ9Y1fURua4AJR,11.0
15,Neighborhood #1 (Tunnels),Arcade Fire,0WZZJ0mDKIkLfL0710ssZt,11.0
16,Arcade 2019: ULTRACOMBO (From League of Legends: Season 9),League of Legends,1qo9n7SkjqaQLeRmJ8Rtwo,11.0
17,Creature Comfort,Arcade Fire,2voWPWlDfIthC6GUjaIQyV,11.0
18,Put Your Money on Me,Arcade Fire,0SaEmR2rdtfsZawPjMYkWg,11.0
19,No Cars Go,Arcade Fire,51xBgzcyzojRpqFW2ICQAB,11.0
0,Better Love - From The Legend of Tarzan - Single version,Hozier,6LOGgSwHUaBp9MESQxbVBJ,12.0
1,Better Love,Luther Vandross,1QzCnfF0AxZ3veY9tOw0h7,12.0
2,Better Love,Chris Dior Jones,4F7Sv906bb49mU5NZ1kTxR,12.0
3,Better Love,Green River Ordinance,72BNmHN1KzumgOt0nxEapE,12.0
4,Better Love,Everyone Leaves,73Rgyb25gJHHQNSTMWtzgL,12.0
5,Better Love,Foxes,08pOoVfZ8BsLCfXxRsci2Y,12.0
6,Better Love Next Time,Dr. Hook,6ZnOQsOEWMhWNENR1HSClT,12.0
7,Better Love,Drew Holcomb & The Neighbors,4PpU0bne4Yz4HqoKo3Us5V,12.0
8,Better Love,Glades,3uQyPw1hYPcXvyYYRM7ZEr,12.0
9,Better Love,Steel Train,3OFpHlJDmtZtozQun498wd,12.0
10,Better Love,Delta Maid,2wV4pnMYNMaaJBzkwqs8q1,12.0
11,Better Love You,FIXL,47CgipVKTojWCn1yLnjFIg,12.0
12,Better Love,Katerine Duska,0QvJ5pNWlnMiLIxr7M6t3N,12.0
13,Stay With Me,Better Love,1XQsbPO6xvK9edK3FiNjpj,12.0
14,Better Love (Bronx Love),DJ Røsskid,5l0UwqI9XxQYdy1p45ujra,12.0
15,Better Love,Kiing Shooter,4CKMhUepH09DCO9pkPBmu9,12.0
16,Better Love,Ginette Claudette,79JAMoaCdePoIUcbyuiW2A,12.0
17,No Better Love,Young Gunz,0K7XjmTNFwQ2qwHn4MjlDx,12.0
18,Better Love,Eisley,52kdn7Vhr99Tm9NrFf6vrR,12.0
19,Better Love,HM&G,4jaJ74eGdS4ttUx0XgauS9,12.0
0,,,,
0,Spirit in the Sky,Norman Greenbaum,0Y2SrByf4G3kbq2nBEHQRn,14.0
1,Spirit In The Sky,Norman Greenbaum,0jvN7eQJJt4nxQzgQfZ1SP,14.0
2,Spirit In The Sky,The Kentucky Headhunters,1DQm5b0x7SOn22xWxIW2r8,14.0
3,Spirit in the Sky,KEiiNO,7B7O5jgFpWfc9orZw6FN4K,14.0
4,Spirit in the Sky,Doctor & The Medics,097Tr8QiDLiTQlEoLI96AP,14.0
5,Spirit In The Sky,Elton John,4o6USIfHjsPlCljXkhIHv2,14.0
6,Spirit in the Sky,Bauhaus,5dc8HkeOAAKCCYvRIx68kP,14.0
7,Spirit in the Sky,The Bellamy Brothers,1qGtbxgpsaUa2BnJvJHph8,14.0
8,Spirit in the Sky - Sea Lounge Mix,Kandi & Fitch,70BnGAGz1jRofxBimrZZVh,14.0
9,Spirit in the Sky,Perfect Harmony Cast,3ttS4PH98AczcO69h8nNFi,14.0
10,Spirit in the Sky,Twinkle Twinkle Little Rock Star,2YP2s5bX1us4i9SJGHGV6Q,14.0
11,Spirit in the Sky,Evol Walks,5TsfV6i5lKSodFFKwR0xde,14.0
12,Spirit in the Sky - Extended Club Mix,KEiiNO,2aDNNuSfGtR1YgwCHzpeCE,14.0
13,Spirit in the Sky (Acoustic),KEiiNO,0WsH3KrpP7ZyjsgNd1MHNy,14.0
14,Spirit In The Sky - Demo Version,Norman Greenbaum,1a2lWeYFXfFd283qdUgIs4,14.0
15,Spirit In The Sky - Re-Recording,Doctor & The Medics,63OG6GpDsGgW9TnkTBUbWB,14.0
16,"Inochi no Namae / The Name of Life (From ""Spirited Away"") [Arranged by Hirohashi Makiko]",Jeremy Ng,4ilV3NmtPlRNjfs1thwfIU,14.0
17,Spirit in the Sky,KEiiNO,4w6Aheza0D2Ixjc0rEB0EP,14.0
18,Spirit In The Sky,The Kentucky Headhunters,3kg9JZz9OiNHRSXVFLKEmN,14.0
19,"Itsumo Nando Demo / Always With Me (From ""Spirited Away"") [Arranged by Hirohashi Makiko]",Jeremy Ng,6CdAzHQxHq6qtetQnABnmZ,14.0
0,Bigger Than Us,Adam Doleac,3aKalGmwMJwJsomrOWRsh9,15.0
1,Bigger Than Us,White Lies,793Nw23V2uDDvpPozit3C2,15.0
2,Bigger Than Us,Hudson Thames,356lrSfjHmYc7wJg5A38kR,15.0
3,Bigger Than Us,Hannah Montana,1OJNgEKEQm0YfvISCNqN1U,15.0
4,Bigger Than Us,Josh Groban,3tFxdOTHaFrI29QpjBdo2g,15.0
5,Bigger Than Us (feat. Paul Rey),Dame D.O.L.L.A,7rwVT5ji3T9oO9oxsW4jbA,15.0
6,Bigger Than Us,Traveler,5e8VdiGOJH1jWyHWTz3X3A,15.0
